BOTTLE,20150216PRINUNIVRMK
# 3/17/99 Initialized README file for WOCE leg A07 
# Data source: CCHDO 1/15/07 
# SHIP: L'Atlante 
# Cruise: 35A3CITHER1_1; WOCE A07 
# Region: 35W-11E; 6S-7N; zonal section on 4.5S 
# EXPOCODE: 35A319930102 
# DATES: 1/2/93 - 2/10/93 
# Chief Scientist - Alain Morliere 
# 119 stations with 32 8-liter bottle Rosette and wire casts 
# Hydro: Who - M. Arhan, H. Hercier; Status - final 
# 	Notes: Some problems with salt calibration (bottle), precision < 0.002,  
# 		but estimated uncertainty: 
# 		sta	stability 
# 		1-10	0.001 
# 		11-18	<0.003 
# 		19-119	0.001 
# Nuts/O2: Who - M. Arhan, H. Hercier; Status - final 
# 	Notes: 
# TCO2: Who - C. Oudot; Status - final 
# 	Notes: no NDP 
# TA: Who - C. Oudot; Status - final 
# 	Notes: no NDP 
# 	Data too noisy to use (R. Wanninkhof) 
# fCO2: Who - C. Oudot; Status - final  
# 	Notes: top 10m only 
# pH: Who - C. Oudot; Status - final 
# 	Notes: Revised data received from A.Velo 12/23/14 converted to 
# 		total scale at 25C 
# CFC: Who - c. Andrie; Status - final  
# 	Notes:    
# H-3/He-3: Who -  P. Jean-Baptiste; Status - final  
# 	Notes: All He-4 flagged 3/4 
# 	No errors for H3 or He3 
# Other: Chlorophyl A and phaeopigments 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,,,DEG C,UG/KG,,UG/KG,,TU,,NMOL/KG,,PERCNT,,DEG C
  35A319930102,   A07,     1,  1,      7,2,19930103,   0, -4.4205,  10.8398,  217,      1.0,  25.0520,  34.2440,3,    210.1,2,     3.19,2,     0.30,2,     0.06,2,     0.12,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  25.0518
  35A319930102,   A07,     1,  1,      6,2,19930103,   0, -4.4205,  10.8398,  217,     28.3,  18.1940,  35.6950,3,    105.5,2,     6.96,2,    14.34,2,     0.03,2,     1.08,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  18.1891
  35A319930102,   A07,     1,  1,      5,2,19930103,   0, -4.4205,  10.8398,  217,     48.5,  17.3860,  35.7520,2,    115.9,2,     5.95,2,    15.06,2,     0.02,2,     1.09,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  17.3779
  35A319930102,   A07,     1,  1,      4,2,19930103,   0, -4.4205,  10.8398,  217,     73.4,  16.9120,  35.7370,2,    116.0,2,     5.72,2,    15.51,2,     0.01,2,     1.10,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  16.8999
  35A319930102,   A07,     1,  1,      3,2,19930103,   0, -4.4205,  10.8398,  217,    116.3,  15.8760,  35.6350,2,     92.5,2,     7.60,2,    18.88,2,     0.01,2,     1.32,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  15.8576
  35A319930102,   A07,     1,  1,      1,2,19930103,   0, -4.4205,  10.8398,  217,    191.2,  14.1370,  35.4240,2,     78.2,2,     9.38,2,    23.22,2,     0.01,2,     1.55,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  14.1091
  35A319930102,   A07,     1,  1,      2,2,19930103,   0, -4.4205,  10.8398,  217,    191.2,  14.1440,  35.4230,2,     78.6,2,     9.39,2,    23.19,2,     0.01,2,     1.55,2, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  14.1161
  35A319930102,   A07,     2,  1,      7,2,19930103,   0, -4.4452,  10.8185,  539,      7.9,  21.1390,  35.6020,3,    128.9,2,     5.04,2,     9.07,2,     0.58,2,     0.76,2,    1.874,2,    0.921,2,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  21.1375
  35A319930102,   A07,     2,  1,      6,2,19930103,   0, -4.4452,  10.8185,  539,     72.6,  17.0080,  35.7480,3,    119.2,2,     5.61,2,    15.12,2,     0.01,2,     1.08,2, -999.000,4, -999.000,4,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  16.9960
  35A319930102,   A07,     2,  1,      5,2,19930103,   0, -4.4452,  10.8185,  539,    122.0,  15.8420,  35.6200,3,     88.1,2,     7.60,2,    19.51,2,     0.01,2,     1.34,2,    1.527,2,    0.725,2,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  15.8228
  35A319930102,   A07,     2,  1,      4,2,19930103,   0, -4.4452,  10.8185,  539,    198.1,  14.0130,  35.4010,3,     75.7,2,     9.02,2,    23.77,2,     0.00,2,     1.56,2,    0.988,2,    0.515,2,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,  13.9842
  35A319930102,   A07,     2,  1,      3,2,19930103,   0, -4.4452,  10.8185,  539,    397.4,   7.9840,  34.7340,2,     75.2,2,    20.23,2,    34.83,2,     0.00,2,     2.26,2,    0.120,2,    0.080,2,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9, -999.000,9,-999.0000,9,  -999.00,9,   7.9435
